date,year,month,week,period
10/30/2016,2016,10,44,11
11/6/2016,2016,11,45,12
11/13/2016,2016,11,46,12
11/20/2016,2016,11,47,12
11/27/2016,2016,11,48,12
12/4/2016,2016,12,49,13
12/11/2016,2016,12,50,13
12/18/2016,2016,12,51,13
12/25/2016,2016,12,52,13
1/1/2017,2017,1,1,1
1/8/2017,2017,1,2,1
1/15/2017,2017,1,3,1
1/22/2017,2017,1,4,1
1/29/2017,2017,1,5,2
2/5/2017,2017,2,6,2
2/12/2017,2017,2,7,2
2/19/2017,2017,2,8,2
2/26/2017,2017,2,9,3
3/5/2017,2017,3,10,3
3/12/2017,2017,3,11,3
3/19/2017,2017,3,12,3
3/26/2017,2017,3,13,4
4/2/2017,2017,4,14,4
4/9/2017,2017,4,15,4
4/16/2017,2017,4,16,4
4/23/2017,2017,4,17,5
4/30/2017,2017,4,18,5
5/7/2017,2017,5,19,5
5/14/2017,2017,5,20,5
5/21/2017,2017,5,21,6
5/28/2017,2017,5,22,6
6/4/2017,2017,6,23,6
6/11/2017,2017,6,24,6
6/18/2017,2017,6,25,7
6/25/2017,2017,6,26,7
7/2/2017,2017,7,27,7
7/9/2017,2017,7,28,7
7/16/2017,2017,7,29,8
7/23/2017,2017,7,30,8
7/30/2017,2017,7,31,8
8/6/2017,2017,8,32,8
8/13/2017,2017,8,33,9
8/20/2017,2017,8,34,9
8/27/2017,2017,8,35,9
9/3/2017,2017,9,36,9
9/10/2017,2017,9,37,10
9/17/2017,2017,9,38,10
9/24/2017,2017,9,39,10
10/1/2017,2017,10,40,10
10/8/2017,2017,10,41,11
10/15/2017,2017,10,42,11
10/22/2017,2017,10,43,11
10/29/2017,2017,10,44,11
11/5/2017,2017,11,45,12
11/12/2017,2017,11,46,12
11/19/2017,2017,11,47,12
11/26/2017,2017,11,48,12
12/3/2017,2017,12,49,13
12/10/2017,2017,12,50,13
12/17/2017,2017,12,51,13
12/24/2017,2017,12,52,13
12/31/2017,2018,1,1,1
1/7/2018,2018,1,2,1
1/14/2018,2018,1,3,1
1/21/2018,2018,1,4,1
1/28/2018,2018,1,5,2
2/4/2018,2018,2,6,2
2/11/2018,2018,2,7,2
2/18/2018,2018,2,8,2
2/25/2018,2018,2,9,3
3/4/2018,2018,3,10,3
3/11/2018,2018,3,11,3
3/18/2018,2018,3,12,3
3/25/2018,2018,3,13,4
4/1/2018,2018,4,14,4
4/8/2018,2018,4,15,4
4/15/2018,2018,4,16,4
4/22/2018,2018,4,17,5
4/29/2018,2018,4,18,5
5/6/2018,2018,5,19,5
5/13/2018,2018,5,20,5
5/20/2018,2018,5,21,6
5/27/2018,2018,5,22,6
6/3/2018,2018,6,23,6
6/10/2018,2018,6,24,6
6/17/2018,2018,6,25,7
6/24/2018,2018,6,26,7
7/1/2018,2018,7,27,7
7/8/2018,2018,7,28,7
7/15/2018,2018,7,29,8
7/22/2018,2018,7,30,8
7/29/2018,2018,7,31,8
8/5/2018,2018,8,32,8
8/12/2018,2018,8,33,9
8/19/2018,2018,8,34,9
8/26/2018,2018,8,35,9
9/2/2018,2018,9,36,9
9/9/2018,2018,9,37,10
9/16/2018,2018,9,38,10
9/23/2018,2018,9,39,10
9/30/2018,2018,9,40,10
10/7/2018,2018,10,41,11
10/14/2018,2018,10,42,11
10/21/2018,2018,10,43,11
10/28/2018,2018,10,44,11
11/4/2018,2018,11,45,12
11/11/2018,2018,11,46,12
11/18/2018,2018,11,47,12
11/25/2018,2018,11,48,12
12/2/2018,2018,12,49,13
12/9/2018,2018,12,50,13
12/16/2018,2018,12,51,13
12/23/2018,2018,12,52,13
12/30/2018,2019,1,1,1
1/6/2019,2019,1,2,1
1/13/2019,2019,1,3,1
1/20/2019,2019,1,4,1
1/27/2019,2019,1,5,2
2/3/2019,2019,2,6,2
2/10/2019,2019,2,7,2
2/17/2019,2019,2,8,2
2/24/2019,2019,2,9,3
3/3/2019,2019,3,10,3
3/10/2019,2019,3,11,3
3/17/2019,2019,3,12,3
3/24/2019,2019,3,13,4
3/31/2019,2019,3,14,4
4/7/2019,2019,4,15,4
4/14/2019,2019,4,16,4
4/21/2019,2019,4,17,5
4/28/2019,2019,4,18,5
5/5/2019,2019,5,19,5
5/12/2019,2019,5,20,5
5/19/2019,2019,5,21,6
5/26/2019,2019,5,22,6
6/2/2019,2019,6,23,6
6/9/2019,2019,6,24,6
6/16/2019,2019,6,25,7
6/23/2019,2019,6,26,7
6/30/2019,2019,6,27,7
7/7/2019,2019,7,28,7
7/14/2019,2019,7,29,8
7/21/2019,2019,7,30,8
7/28/2019,2019,7,31,8
8/4/2019,2019,8,32,8
8/11/2019,2019,8,33,9
8/18/2019,2019,8,34,9
8/25/2019,2019,8,35,9
9/1/2019,2019,9,36,9
9/8/2019,2019,9,37,10
9/15/2019,2019,9,38,10
9/22/2019,2019,9,39,10
9/29/2019,2019,9,40,10
10/6/2019,2019,10,41,11
10/13/2019,2019,10,42,11
10/20/2019,2019,10,43,11
10/27/2019,2019,10,44,11
11/3/2019,2019,11,45,12
11/10/2019,2019,11,46,12
11/17/2019,2019,11,47,12
11/24/2019,2019,11,48,12
12/1/2019,2019,12,49,13
12/8/2019,2019,12,50,13
12/15/2019,2019,12,51,13
12/22/2019,2019,12,52,13
12/29/2019,2020,1,1,1
1/5/2020,2020,1,2,1
1/12/2020,2020,1,3,1
1/19/2020,2020,1,4,1
1/26/2020,2020,1,5,2
2/2/2020,2020,2,6,2
2/9/2020,2020,2,7,2
2/16/2020,2020,2,8,2
2/23/2020,2020,2,9,3
3/1/2020,2020,3,10,3
3/8/2020,2020,3,11,3
3/15/2020,2020,3,12,3
3/22/2020,2020,3,13,4
3/29/2020,2020,3,14,4
4/5/2020,2020,4,15,4
4/12/2020,2020,4,16,4
