date,entity,year,month,week,period,value
6/23/2019,AMAZONAS,2019,6,26,7,1
6/30/2019,AMAZONAS,2019,6,27,7,2
7/7/2019,AMAZONAS,2019,7,28,7,1
7/14/2019,AMAZONAS,2019,7,29,8,0
7/21/2019,AMAZONAS,2019,7,30,8,2
7/28/2019,AMAZONAS,2019,7,31,8,1
8/4/2019,AMAZONAS,2019,8,32,8,3
8/11/2019,AMAZONAS,2019,8,33,9,0
8/18/2019,AMAZONAS,2019,8,34,9,0
8/25/2019,AMAZONAS,2019,8,35,9,2
9/1/2019,AMAZONAS,2019,9,36,9,1
9/8/2019,AMAZONAS,2019,9,37,10,2
9/15/2019,AMAZONAS,2019,9,38,10,4
9/22/2019,AMAZONAS,2019,9,39,10,2
9/29/2019,AMAZONAS,2019,9,40,10,1
10/6/2019,AMAZONAS,2019,10,41,11,0
10/13/2019,AMAZONAS,2019,10,42,11,1
10/20/2019,AMAZONAS,2019,10,43,11,1
10/27/2019,AMAZONAS,2019,10,44,11,2
11/3/2019,AMAZONAS,2019,11,45,12,0
11/10/2019,AMAZONAS,2019,11,46,12,0
11/17/2019,AMAZONAS,2019,11,47,12,3
11/24/2019,AMAZONAS,2019,11,48,12,0
12/1/2019,AMAZONAS,2019,12,49,13,1
12/8/2019,AMAZONAS,2019,12,50,13,1
12/15/2019,AMAZONAS,2019,12,51,13,0
12/22/2019,AMAZONAS,2019,12,52,13,1
12/29/2019,AMAZONAS,2020,1,1,1,1
1/5/2020,AMAZONAS,2020,1,2,1,1
1/12/2020,AMAZONAS,2020,1,3,1,0
1/19/2020,AMAZONAS,2020,1,4,1,1
1/26/2020,AMAZONAS,2020,1,5,2,1
2/2/2020,AMAZONAS,2020,2,6,2,0
2/9/2020,AMAZONAS,2020,2,7,2,0
2/16/2020,AMAZONAS,2020,2,8,2,1
2/23/2020,AMAZONAS,2020,2,9,3,0
3/1/2020,AMAZONAS,2020,3,10,3,0
3/8/2020,AMAZONAS,2020,3,11,3,0
3/15/2020,AMAZONAS,2020,3,12,3,0
3/22/2020,AMAZONAS,2020,3,13,4,1
3/29/2020,AMAZONAS,2020,3,14,4,1
4/5/2020,AMAZONAS,2020,4,15,4,0
4/12/2020,AMAZONAS,2020,4,16,4,0
4/19/2020,AMAZONAS,2020,4,17,5,1
4/26/2020,AMAZONAS,2020,4,18,5,0
5/3/2020,AMAZONAS,2020,5,19,5,1
5/10/2020,AMAZONAS,2020,5,20,5,0
5/17/2020,AMAZONAS,2020,5,21,6,0
5/24/2020,AMAZONAS,2020,5,22,6,1
5/31/2020,AMAZONAS,2020,5,23,6,1
6/7/2020,AMAZONAS,2020,6,24,6,1
6/14/2020,AMAZONAS,2020,6,25,7,1
6/21/2020,AMAZONAS,2020,6,26,7,0
6/28/2020,AMAZONAS,2020,6,27,7,0
7/5/2020,AMAZONAS,2020,7,28,7,0
7/12/2020,AMAZONAS,2020,7,29,8,0
7/19/2020,AMAZONAS,2020,7,30,8,1
7/26/2020,AMAZONAS,2020,7,31,8,0
8/2/2020,AMAZONAS,2020,8,32,8,0
8/9/2020,AMAZONAS,2020,8,33,9,0
8/16/2020,AMAZONAS,2020,8,34,9,0
8/23/2020,AMAZONAS,2020,8,35,9,0
8/30/2020,AMAZONAS,2020,8,36,9,2
9/6/2020,AMAZONAS,2020,9,37,10,1
9/13/2020,AMAZONAS,2020,9,38,10,0
9/20/2020,AMAZONAS,2020,9,39,10,2
9/27/2020,AMAZONAS,2020,9,40,10,0
10/4/2020,AMAZONAS,2020,10,41,11,0
10/11/2020,AMAZONAS,2020,10,42,11,3
10/18/2020,AMAZONAS,2020,10,43,11,1
10/25/2020,AMAZONAS,2020,10,44,11,1
11/1/2020,AMAZONAS,2020,11,45,12,1
11/8/2020,AMAZONAS,2020,11,46,12,0
11/15/2020,AMAZONAS,2020,11,47,12,0
11/22/2020,AMAZONAS,2020,11,48,12,0
11/29/2020,AMAZONAS,2020,11,49,13,0
12/6/2020,AMAZONAS,2020,12,50,13,1
12/13/2020,AMAZONAS,2020,12,51,13,1
12/20/2020,AMAZONAS,2020,12,52,13,1
12/27/2020,AMAZONAS,2020,12,53,13,1
1/1/2017,ANTIOQUIA,2017,1,1,1,60
1/8/2017,ANTIOQUIA,2017,1,2,1,47
1/15/2017,ANTIOQUIA,2017,1,3,1,55
1/22/2017,ANTIOQUIA,2017,1,4,1,62
1/29/2017,ANTIOQUIA,2017,1,5,2,60
2/5/2017,ANTIOQUIA,2017,2,6,2,61
2/12/2017,ANTIOQUIA,2017,2,7,2,57
2/19/2017,ANTIOQUIA,2017,2,8,2,40
2/26/2017,ANTIOQUIA,2017,2,9,3,69
3/5/2017,ANTIOQUIA,2017,3,10,3,61
3/12/2017,ANTIOQUIA,2017,3,11,3,51
3/19/2017,ANTIOQUIA,2017,3,12,3,49
3/26/2017,ANTIOQUIA,2017,3,13,4,57
4/2/2017,ANTIOQUIA,2017,4,14,4,60
4/9/2017,ANTIOQUIA,2017,4,15,4,46
4/16/2017,ANTIOQUIA,2017,4,16,4,62
4/23/2017,ANTIOQUIA,2017,4,17,5,62
4/30/2017,ANTIOQUIA,2017,4,18,5,48
5/7/2017,ANTIOQUIA,2017,5,19,5,50
5/14/2017,ANTIOQUIA,2017,5,20,5,61
5/21/2017,ANTIOQUIA,2017,5,21,6,54
5/28/2017,ANTIOQUIA,2017,5,22,6,46
6/4/2017,ANTIOQUIA,2017,6,23,6,58
6/11/2017,ANTIOQUIA,2017,6,24,6,48
6/18/2017,ANTIOQUIA,2017,6,25,7,40
6/25/2017,ANTIOQUIA,2017,6,26,7,51
7/2/2017,ANTIOQUIA,2017,7,27,7,43
7/9/2017,ANTIOQUIA,2017,7,28,7,56
7/16/2017,ANTIOQUIA,2017,7,29,8,55
7/23/2017,ANTIOQUIA,2017,7,30,8,58
7/30/2017,ANTIOQUIA,2017,7,31,8,58
8/6/2017,ANTIOQUIA,2017,8,32,8,48
8/13/2017,ANTIOQUIA,2017,8,33,9,54
8/20/2017,ANTIOQUIA,2017,8,34,9,33
8/27/2017,ANTIOQUIA,2017,8,35,9,37
9/3/2017,ANTIOQUIA,2017,9,36,9,45
9/10/2017,ANTIOQUIA,2017,9,37,10,55
9/17/2017,ANTIOQUIA,2017,9,38,10,66
9/24/2017,ANTIOQUIA,2017,9,39,10,52
10/1/2017,ANTIOQUIA,2017,10,40,10,53
10/8/2017,ANTIOQUIA,2017,10,41,11,52
10/15/2017,ANTIOQUIA,2017,10,42,11,46
10/22/2017,ANTIOQUIA,2017,10,43,11,53
10/29/2017,ANTIOQUIA,2017,10,44,11,54
11/5/2017,ANTIOQUIA,2017,11,45,12,49
11/12/2017,ANTIOQUIA,2017,11,46,12,48
11/19/2017,ANTIOQUIA,2017,11,47,12,68
11/26/2017,ANTIOQUIA,2017,11,48,12,63
12/3/2017,ANTIOQUIA,2017,12,49,13,40
12/10/2017,ANTIOQUIA,2017,12,50,13,41
12/17/2017,ANTIOQUIA,2017,12,51,13,62
12/24/2017,ANTIOQUIA,2017,12,52,13,43
12/31/2017,ANTIOQUIA,2018,1,1,1,50
1/7/2018,ANTIOQUIA,2018,1,2,1,46
1/14/2018,ANTIOQUIA,2018,1,3,1,56
1/21/2018,ANTIOQUIA,2018,1,4,1,52
1/28/2018,ANTIOQUIA,2018,1,5,2,42
2/4/2018,ANTIOQUIA,2018,2,6,2,46
2/11/2018,ANTIOQUIA,2018,2,7,2,41
2/18/2018,ANTIOQUIA,2018,2,8,2,50
2/25/2018,ANTIOQUIA,2018,2,9,3,63
3/4/2018,ANTIOQUIA,2018,3,10,3,53
3/11/2018,ANTIOQUIA,2018,3,11,3,58
3/18/2018,ANTIOQUIA,2018,3,12,3,49
3/25/2018,ANTIOQUIA,2018,3,13,4,30
4/1/2018,ANTIOQUIA,2018,4,14,4,61
4/8/2018,ANTIOQUIA,2018,4,15,4,73
4/15/2018,ANTIOQUIA,2018,4,16,4,54
4/22/2018,ANTIOQUIA,2018,4,17,5,60
4/29/2018,ANTIOQUIA,2018,4,18,5,47
5/6/2018,ANTIOQUIA,2018,5,19,5,55
5/13/2018,ANTIOQUIA,2018,5,20,5,37
5/20/2018,ANTIOQUIA,2018,5,21,6,65
5/27/2018,ANTIOQUIA,2018,5,22,6,47
6/3/2018,ANTIOQUIA,2018,6,23,6,48
6/10/2018,ANTIOQUIA,2018,6,24,6,53
6/17/2018,ANTIOQUIA,2018,6,25,7,43
6/24/2018,ANTIOQUIA,2018,6,26,7,54
7/1/2018,ANTIOQUIA,2018,7,27,7,44
7/8/2018,ANTIOQUIA,2018,7,28,7,55
7/15/2018,ANTIOQUIA,2018,7,29,8,50
7/22/2018,ANTIOQUIA,2018,7,30,8,45
7/29/2018,ANTIOQUIA,2018,7,31,8,57
8/5/2018,ANTIOQUIA,2018,8,32,8,48
8/12/2018,ANTIOQUIA,2018,8,33,9,53
8/19/2018,ANTIOQUIA,2018,8,34,9,49
8/26/2018,ANTIOQUIA,2018,8,35,9,53
9/2/2018,ANTIOQUIA,2018,9,36,9,52
9/9/2018,ANTIOQUIA,2018,9,37,10,53
9/16/2018,ANTIOQUIA,2018,9,38,10,66
9/23/2018,ANTIOQUIA,2018,9,39,10,49
9/30/2018,ANTIOQUIA,2018,9,40,10,53
10/7/2018,ANTIOQUIA,2018,10,41,11,58
10/14/2018,ANTIOQUIA,2018,10,42,11,44
10/21/2018,ANTIOQUIA,2018,10,43,11,66
10/28/2018,ANTIOQUIA,2018,10,44,11,60
11/4/2018,ANTIOQUIA,2018,11,45,12,46
11/11/2018,ANTIOQUIA,2018,11,46,12,51
11/18/2018,ANTIOQUIA,2018,11,47,12,61
11/25/2018,ANTIOQUIA,2018,11,48,12,64
12/2/2018,ANTIOQUIA,2018,12,49,13,49
12/9/2018,ANTIOQUIA,2018,12,50,13,56
12/16/2018,ANTIOQUIA,2018,12,51,13,47
12/23/2018,ANTIOQUIA,2018,12,52,13,27
12/30/2018,ANTIOQUIA,2019,1,1,1,40
1/6/2019,ANTIOQUIA,2019,1,2,1,47
1/13/2019,ANTIOQUIA,2019,1,3,1,64
1/20/2019,ANTIOQUIA,2019,1,4,1,67
1/27/2019,ANTIOQUIA,2019,1,5,2,67
2/3/2019,ANTIOQUIA,2019,2,6,2,63
2/10/2019,ANTIOQUIA,2019,2,7,2,58
2/17/2019,ANTIOQUIA,2019,2,8,2,53
2/24/2019,ANTIOQUIA,2019,2,9,3,60
3/3/2019,ANTIOQUIA,2019,3,10,3,68
3/10/2019,ANTIOQUIA,2019,3,11,3,57
3/17/2019,ANTIOQUIA,2019,3,12,3,64
3/24/2019,ANTIOQUIA,2019,3,13,4,50
3/31/2019,ANTIOQUIA,2019,3,14,4,57
4/7/2019,ANTIOQUIA,2019,4,15,4,51
4/14/2019,ANTIOQUIA,2019,4,16,4,45
4/21/2019,ANTIOQUIA,2019,4,17,5,65
4/28/2019,ANTIOQUIA,2019,4,18,5,43
5/5/2019,ANTIOQUIA,2019,5,19,5,57
5/12/2019,ANTIOQUIA,2019,5,20,5,58
5/19/2019,ANTIOQUIA,2019,5,21,6,57
5/26/2019,ANTIOQUIA,2019,5,22,6,51
6/2/2019,ANTIOQUIA,2019,6,23,6,47
6/9/2019,ANTIOQUIA,2019,6,24,6,62
6/16/2019,ANTIOQUIA,2019,6,25,7,46
6/23/2019,ANTIOQUIA,2019,6,26,7,52
6/30/2019,ANTIOQUIA,2019,6,27,7,42
7/7/2019,ANTIOQUIA,2019,7,28,7,61
7/14/2019,ANTIOQUIA,2019,7,29,8,63
7/21/2019,ANTIOQUIA,2019,7,30,8,53
7/28/2019,ANTIOQUIA,2019,7,31,8,65
8/4/2019,ANTIOQUIA,2019,8,32,8,53
8/11/2019,ANTIOQUIA,2019,8,33,9,66
8/18/2019,ANTIOQUIA,2019,8,34,9,59
8/25/2019,ANTIOQUIA,2019,8,35,9,54
9/1/2019,ANTIOQUIA,2019,9,36,9,55
9/8/2019,ANTIOQUIA,2019,9,37,10,54
9/15/2019,ANTIOQUIA,2019,9,38,10,55
9/22/2019,ANTIOQUIA,2019,9,39,10,39
9/29/2019,ANTIOQUIA,2019,9,40,10,47
10/6/2019,ANTIOQUIA,2019,10,41,11,61
10/13/2019,ANTIOQUIA,2019,10,42,11,59
10/20/2019,ANTIOQUIA,2019,10,43,11,55
10/27/2019,ANTIOQUIA,2019,10,44,11,65
11/3/2019,ANTIOQUIA,2019,11,45,12,56
11/10/2019,ANTIOQUIA,2019,11,46,12,57
11/17/2019,ANTIOQUIA,2019,11,47,12,59
11/24/2019,ANTIOQUIA,2019,11,48,12,69
12/1/2019,ANTIOQUIA,2019,12,49,13,53
12/8/2019,ANTIOQUIA,2019,12,50,13,45
12/15/2019,ANTIOQUIA,2019,12,51,13,36
12/22/2019,ANTIOQUIA,2019,12,52,13,17
12/29/2019,ANTIOQUIA,2020,1,1,1,47
1/5/2020,ANTIOQUIA,2020,1,2,1,59
1/12/2020,ANTIOQUIA,2020,1,3,1,80
1/19/2020,ANTIOQUIA,2020,1,4,1,55
1/26/2020,ANTIOQUIA,2020,1,5,2,57
2/2/2020,ANTIOQUIA,2020,2,6,2,69
2/9/2020,ANTIOQUIA,2020,2,7,2,64
2/16/2020,ANTIOQUIA,2020,2,8,2,68
2/23/2020,ANTIOQUIA,2020,2,9,3,63
3/1/2020,ANTIOQUIA,2020,3,10,3,64
3/8/2020,ANTIOQUIA,2020,3,11,3,69
3/15/2020,ANTIOQUIA,2020,3,12,3,53
3/22/2020,ANTIOQUIA,2020,3,13,4,33
3/29/2020,ANTIOQUIA,2020,3,14,4,30
4/5/2020,ANTIOQUIA,2020,4,15,4,26
4/12/2020,ANTIOQUIA,2020,4,16,4,43
4/19/2020,ANTIOQUIA,2020,4,17,5,45
4/26/2020,ANTIOQUIA,2020,4,18,5,45
5/3/2020,ANTIOQUIA,2020,5,19,5,55
5/10/2020,ANTIOQUIA,2020,5,20,5,35
5/17/2020,ANTIOQUIA,2020,5,21,6,41
5/24/2020,ANTIOQUIA,2020,5,22,6,41
5/31/2020,ANTIOQUIA,2020,5,23,6,59
6/7/2020,ANTIOQUIA,2020,6,24,6,32
6/14/2020,ANTIOQUIA,2020,6,25,7,31
6/21/2020,ANTIOQUIA,2020,6,26,7,37
6/28/2020,ANTIOQUIA,2020,6,27,7,36
7/5/2020,ANTIOQUIA,2020,7,28,7,41
7/12/2020,ANTIOQUIA,2020,7,29,8,32
7/19/2020,ANTIOQUIA,2020,7,30,8,26
7/26/2020,ANTIOQUIA,2020,7,31,8,27
8/2/2020,ANTIOQUIA,2020,8,32,8,28
8/9/2020,ANTIOQUIA,2020,8,33,9,41
8/16/2020,ANTIOQUIA,2020,8,34,9,33
8/23/2020,ANTIOQUIA,2020,8,35,9,45
8/30/2020,ANTIOQUIA,2020,8,36,9,43
9/6/2020,ANTIOQUIA,2020,9,37,10,37
9/13/2020,ANTIOQUIA,2020,9,38,10,53
9/20/2020,ANTIOQUIA,2020,9,39,10,40
9/27/2020,ANTIOQUIA,2020,9,40,10,41
10/4/2020,ANTIOQUIA,2020,10,41,11,54
10/11/2020,ANTIOQUIA,2020,10,42,11,45
10/18/2020,ANTIOQUIA,2020,10,43,11,48
10/25/2020,ANTIOQUIA,2020,10,44,11,50
11/1/2020,ANTIOQUIA,2020,11,45,12,46
11/8/2020,ANTIOQUIA,2020,11,46,12,55
11/15/2020,ANTIOQUIA,2020,11,47,12,48
11/22/2020,ANTIOQUIA,2020,11,48,12,46
11/29/2020,ANTIOQUIA,2020,11,49,13,49
12/6/2020,ANTIOQUIA,2020,12,50,13,41
12/13/2020,ANTIOQUIA,2020,12,51,13,39
12/20/2020,ANTIOQUIA,2020,12,52,13,29
12/27/2020,ANTIOQUIA,2020,12,53,13,15
1/1/2017,ARAUCA,2017,1,1,1,2
1/8/2017,ARAUCA,2017,1,2,1,1
1/15/2017,ARAUCA,2017,1,3,1,2
1/22/2017,ARAUCA,2017,1,4,1,1
1/29/2017,ARAUCA,2017,1,5,2,2
2/5/2017,ARAUCA,2017,2,6,2,4
2/12/2017,ARAUCA,2017,2,7,2,3
2/19/2017,ARAUCA,2017,2,8,2,0
2/26/2017,ARAUCA,2017,2,9,3,1
3/5/2017,ARAUCA,2017,3,10,3,1
3/12/2017,ARAUCA,2017,3,11,3,1
3/19/2017,ARAUCA,2017,3,12,3,6
3/26/2017,ARAUCA,2017,3,13,4,6
4/2/2017,ARAUCA,2017,4,14,4,3
4/9/2017,ARAUCA,2017,4,15,4,4
4/16/2017,ARAUCA,2017,4,16,4,2
4/23/2017,ARAUCA,2017,4,17,5,3
4/30/2017,ARAUCA,2017,4,18,5,1
5/7/2017,ARAUCA,2017,5,19,5,3
5/14/2017,ARAUCA,2017,5,20,5,2
5/21/2017,ARAUCA,2017,5,21,6,2
5/28/2017,ARAUCA,2017,5,22,6,0
6/4/2017,ARAUCA,2017,6,23,6,3
6/11/2017,ARAUCA,2017,6,24,6,4
6/18/2017,ARAUCA,2017,6,25,7,1
6/25/2017,ARAUCA,2017,6,26,7,1
7/2/2017,ARAUCA,2017,7,27,7,1
7/9/2017,ARAUCA,2017,7,28,7,4
7/16/2017,ARAUCA,2017,7,29,8,4
7/23/2017,ARAUCA,2017,7,30,8,1
7/30/2017,ARAUCA,2017,7,31,8,2
8/6/2017,ARAUCA,2017,8,32,8,1
8/13/2017,ARAUCA,2017,8,33,9,0
8/20/2017,ARAUCA,2017,8,34,9,0
8/27/2017,ARAUCA,2017,8,35,9,4
9/3/2017,ARAUCA,2017,9,36,9,1
9/10/2017,ARAUCA,2017,9,37,10,1
9/17/2017,ARAUCA,2017,9,38,10,2
9/24/2017,ARAUCA,2017,9,39,10,1
10/1/2017,ARAUCA,2017,10,40,10,2
10/8/2017,ARAUCA,2017,10,41,11,0
10/15/2017,ARAUCA,2017,10,42,11,2
10/22/2017,ARAUCA,2017,10,43,11,1
10/29/2017,ARAUCA,2017,10,44,11,0
11/5/2017,ARAUCA,2017,11,45,12,4
11/12/2017,ARAUCA,2017,11,46,12,0
11/19/2017,ARAUCA,2017,11,47,12,2
11/26/2017,ARAUCA,2017,11,48,12,4
12/3/2017,ARAUCA,2017,12,49,13,1
12/10/2017,ARAUCA,2017,12,50,13,1
12/17/2017,ARAUCA,2017,12,51,13,2
12/24/2017,ARAUCA,2017,12,52,13,2
12/31/2017,ARAUCA,2018,1,1,1,2
1/7/2018,ARAUCA,2018,1,2,1,0
1/14/2018,ARAUCA,2018,1,3,1,2
1/21/2018,ARAUCA,2018,1,4,1,2
1/28/2018,ARAUCA,2018,1,5,2,3
2/4/2018,ARAUCA,2018,2,6,2,1
2/11/2018,ARAUCA,2018,2,7,2,1
2/18/2018,ARAUCA,2018,2,8,2,3
2/25/2018,ARAUCA,2018,2,9,3,2
3/4/2018,ARAUCA,2018,3,10,3,0
3/11/2018,ARAUCA,2018,3,11,3,5
3/18/2018,ARAUCA,2018,3,12,3,0
3/25/2018,ARAUCA,2018,3,13,4,1
4/1/2018,ARAUCA,2018,4,14,4,1
4/8/2018,ARAUCA,2018,4,15,4,1
4/15/2018,ARAUCA,2018,4,16,4,4
4/22/2018,ARAUCA,2018,4,17,5,4
4/29/2018,ARAUCA,2018,4,18,5,3
5/6/2018,ARAUCA,2018,5,19,5,5
5/13/2018,ARAUCA,2018,5,20,5,4
5/20/2018,ARAUCA,2018,5,21,6,6
5/27/2018,ARAUCA,2018,5,22,6,2
6/3/2018,ARAUCA,2018,6,23,6,1
6/10/2018,ARAUCA,2018,6,24,6,1
6/17/2018,ARAUCA,2018,6,25,7,4
6/24/2018,ARAUCA,2018,6,26,7,1
7/1/2018,ARAUCA,2018,7,27,7,4
7/8/2018,ARAUCA,2018,7,28,7,5
7/15/2018,ARAUCA,2018,7,29,8,1
7/22/2018,ARAUCA,2018,7,30,8,1
7/29/2018,ARAUCA,2018,7,31,8,1
8/5/2018,ARAUCA,2018,8,32,8,0
8/12/2018,ARAUCA,2018,8,33,9,0
8/19/2018,ARAUCA,2018,8,34,9,2
8/26/2018,ARAUCA,2018,8,35,9,5
9/2/2018,ARAUCA,2018,9,36,9,6
9/9/2018,ARAUCA,2018,9,37,10,3
9/16/2018,ARAUCA,2018,9,38,10,1
9/23/2018,ARAUCA,2018,9,39,10,4
9/30/2018,ARAUCA,2018,9,40,10,1
10/7/2018,ARAUCA,2018,10,41,11,2
10/14/2018,ARAUCA,2018,10,42,11,1
10/21/2018,ARAUCA,2018,10,43,11,2
10/28/2018,ARAUCA,2018,10,44,11,5
11/4/2018,ARAUCA,2018,11,45,12,1
11/11/2018,ARAUCA,2018,11,46,12,1
11/18/2018,ARAUCA,2018,11,47,12,1
11/25/2018,ARAUCA,2018,11,48,12,1
12/2/2018,ARAUCA,2018,12,49,13,3
12/9/2018,ARAUCA,2018,12,50,13,3
12/16/2018,ARAUCA,2018,12,51,13,1
12/23/2018,ARAUCA,2018,12,52,13,2
12/30/2018,ARAUCA,2019,1,1,1,1
1/6/2019,ARAUCA,2019,1,2,1,1
1/13/2019,ARAUCA,2019,1,3,1,2
